supplier_id,supplier_name,contact_person,email,phone,city,country,category,onboarded_date,rating
SUP0027,Morgan PLC,Dean Dunn,bradleyhenry@taylor.com,229.271.6815x72450,Newark,USA,Electronics,2024-02-01,2.6
SUP0028,"Vazquez, Roy and Sharp",Christopher Harmon,millerjames@gonzales.com,6906255618,Newark,USA,FMCG,2020-06-14,3.2
SUP0029,Gardner and Sons,Laura Woods,xboyd@hernandez.net,+1-205-267-0867x009,Chennai,India,FMCG,2023-04-06,4.4
SUP0030,Gray Ltd,Isaiah Black,richardhart@gutierrez.net,255.205.4296,Chennai,India,FMCG,2023-01-01,3.8
SUP0031,Russell and Sons,Scott Grant,kristin09@benton.com,204-601-6481,Rotterdam,Netherlands,Raw Material,2023-01-02,3.2
SUP0032,Hayden-Schneider,Kara Gilmore,zacharygray@rice.biz,832-612-6942x894,Delhi,India,Electronics,2019-09-27,3.9
SUP0033,Suarez Ltd,Nathan Kirk,tlewis@miller-marks.biz,462-655-4026x3558,Chicago,USA,Automotive Parts,2019-12-20,3.6
SUP0034,"Johnson, Miller and Bennett",Douglas Roberts,ingramjessica@allen-terry.net,(645)227-9050,Newark,USA,Textiles,2025-07-30,2.8
SUP0035,Allen-Hendricks,Phillip Kelly,brenda16@walker.com,001-397-587-1809x339,Hamburg,Germany,Packaging,2022-01-28,3.2
SUP0036,Sullivan LLC,Mrs. Jennifer Johnson MD,hullcheryl@crawford.com,386.788.0023x009,Chicago,USA,Textiles,2024-01-29,3.2
SUP0037,Dunn PLC,Alexis Barker,thomas74@campbell.biz,3936659520,Dallas,USA,Textiles,2022-11-08,4.7
SUP0038,Pitts Ltd,Donna Ryan,jessemoreno@massey-willis.biz,522.939.9821,Dallas,USA,Packaging,2020-07-20,3.0
SUP0039,Barnes-Davis,Melissa Mathews,david86@williams.com,476.866.0811,Singapore,Singapore,FMCG,2024-02-02,4.2
SUP0040,Mcmillan and Sons,Amy Dyer,peter91@hughes.info,253-812-3455,Singapore,Singapore,FMCG,2022-03-11,4.1
SUP0041,Graham Inc,Dr. Jeff Hoffman,christineriggs@roberts-mccarty.com,548.908.7354,Atlanta,USA,FMCG,2024-08-31,2.8
SUP0042,"Doyle, Rice and Russell",Matthew Mendez,brownelizabeth@vazquez-smith.com,859.891.4492x07492,Newark,USA,Packaging,2023-12-29,4.5
SUP0043,"Morton, Kane and Douglas",Maria Malone,hdavis@thomas-bowers.org,(593)425-9140x8499,Rotterdam,Netherlands,Electronics,2024-11-10,3.8
SUP0044,Lopez and Sons,Charles Costa,delliott@dean-johnson.net,526.717.6072x3483,Rotterdam,Netherlands,FMCG,2023-04-26,2.9
SUP0045,"Velez, Santos and Roach",Mary Hoffman,hufftina@merritt.com,(799)465-0826,Singapore,Singapore,Electronics,2021-08-31,3.2
